Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
"Sharda Bhavan Education Society's College of Education, V.I.P. Road, Nanded. (Id: C-7486)",1.17,1.55,0.5,1.57,NA,NA,NA,NA
Sharda College of Arts & Science (Id: C-36893),0.48,0.48,NA,0.65,NA,NA,NA,NA
Sharda Devi Degree College (Id: C-22599),0.2,0.22,NA,0.15,NA,NA,NA,NA
"SHARDA DEVI MEMORIAL DEGREE COLLEGE, MAGHAR, SANTKABIRNAGAR (Id: C-49430)",0.46,0.56,NA,0.43,NA,0,NA,NA
SHARDA MAHILA MAHAVIDYALAYA SINGHANI (Id: C-48321),NA,NA,NA,NA,NA,NA,NA,NA
"Sharda Naad mandir, gwalior (Id: C-29558)",NA,NA,NA,NA,NA,NA,NA,NA
"SHARDA NURSING COLLEGE, PANSAR (Id: C-47903)",3.93,NA,10,1.64,NA,0,NA,NA
"Sharda Prasad Shastri Sanskrit Mahavidyalaya, Pandar, Jasara (Id: C-20497)",0.38,1,NA,1.33,NA,NA,NA,NA
"Sharda Sangeet Mahavidhyalaya, jabalpur (Id: C-29572)",NA,NA,NA,NA,NA,NA,NA,NA
"Shardchandraji Pawar College of Computer & Management B.C.A, Jafrabad. (Id: C-34372)",0,0,0,0,NA,NA,NA,NA
"Shardchandra Pawar College of Special Education B.Ed. Beribag, Harsul. (Id: C-34278)",0.93,1,NA,0.7,NA,0,NA,NA
"Sharirik Shikshan Mahavidyalaya, (B.P.Ed. College) Shantinagar, UCHAGAON (Id: C-11160)",0.29,0,NA,1,NA,NA,NA,NA
"Sharirik Shikshan Mahavidyalaya, KURUNDWAD (Id: C-11042)",0.16,0,NA,0.07,NA,NA,NA,NA
"SHARMILA COLLEGE OF NURSING, CHENNAI (Id: C-45431)",2.53,7.14,NA,2,NA,1.5,4,NA
SHARVAN INST. OF REHABILITATION FOR MENTALLY RETARDED PERSONS (Id: C-28226),NA,NA,NA,NA,NA,NA,NA,NA
"Shashank Degree & PG College, Banswada (5027) (Id: C-35060)",0.65,0.52,0.76,0.64,NA,0.61,NA,NA
"Shashank Institute of MSW College, Bellary - 583 103. (Id: C-8583)",0.23,0.24,0.24,0.17,NA,NA,NA,NA
"Sha-Shib College, #38-39, Prestige Enclave, Bettahalsur Cross, BB Road, Bangalore North-562157, Ph:9342660429 (Id: C-20971)",0.3,1.5,2,0.34,NA,0.5,0,2
"Sha-Shib College of Technology, Parvalia, Bhopal - 462030 (Id: C-36309)",0.05,0,NA,0,NA,0.15,NA,NA
"SHASHI BHUSHAN GIRLS DEGREE COLLEGE, G.B. MARG (Id: C-12755)",NA,NA,NA,NA,NA,NA,NA,NA
SHASHIKALA AND DHANSUKHLAL DADARWALA NURSING COLLEGE (Id: C-47894),28.25,NA,NA,NA,NA,NA,NA,NA
SHASHTRI SWAMI DHAMJIVANDASJI B.ED.COLLEGE-UNA (Id: C-987),2.33,1.5,NA,2.44,NA,NA,NA,NA
Shashwat Charitable Education Trust Sanchalit B.B.A. College (Id: C-7158),NA,NA,NA,NA,NA,NA,NA,NA
Shashwat Charitable Education Trust Sanchalit B.C.A. College (Id: C-7170),0.09,0.14,0,0,NA,NA,NA,NA
Shashwat Charitable Education Trust Sanchalit B.S.W. College (Id: C-7216),0.03,0,0,0,NA,NA,NA,NA
"Shastriji Vasati Education College for women, Okkalgeri- Gadag-582103. (Id: C-8704)",NA,NA,NA,NA,NA,NA,NA,NA
SHASTRI SWAMI DHAMJIVANDASJI INSTITUTE OF INFO.TECH-JUNAGADH (Id: C-967),0,0,0,0,NA,0,NA,NA
Shatabdi Centre for Education Excellence College (Id: C-22572),0.54,0.45,1,0.55,NA,0.2,NA,NA
Shatamanosthava College of Physical Education. Malladihalli Chitradurga district (Id: C-42259),0.33,0,0,0.44,NA,NA,NA,NA
"Shatayu College of Professional Studies, Hingna (Id: C-18357)",0.44,NA,NA,NA,NA,NA,NA,NA
"Sh.Baba Mast Nath Engg.College, Asthal, Bohar, Rohtak (Id: C-28432)",0.21,0.13,NA,0.1,NA,NA,NA,NA
"SH. CAP. V.P. SINGH SMARAK DEGREE COLLEGE, KOILAHA, JUNAIDPUR, (Id: C-12476)",0.5,2.18,NA,0.1,NA,NA,NA,NA
"S. H. College, Thevara - 682013 (Id: C-11708)",2.12,1.64,1.19,2.46,0,2.53,2.08,NA
"S H E ACADEMIC COLLEGE OF BUSINESS ADMN, SANKESHWAR (Id: C-9966)",2,0,0.5,NA,NA,NA,NA,NA
"S H E ACADEMIC INST., OF COMPUTER APPLICATION, SANKESHWAR (Id: C-9951)",0.81,0,NA,1,NA,NA,NA,NA
"SHEELA DEVI RAM BHAROSE LAL MAHAVIDYALAYA SHIKOHABAD,FIROZABAD (Id: C-15377)",0.62,0.43,NA,0.65,NA,0.6,NA,NA
"Sheel Devi Institute of Management & Technology, Ballabgarh, . Fairdabad (Id: C-28366)",0.06,0.36,NA,0,NA,NA,NA,NA
"SHEEL SAGAR MAHAVIDYALAYA, HIRNAHI, KINDEPATTI, KUSHINAGAR (Id: C-49431)",0.5,0.69,NA,0.42,NA,NA,NA,NA
SHEETAL COLLEGE OF EDUCATION (Id: C-28488),2.67,2,NA,2,NA,NA,NA,NA
"SHEIKH HUMZA COLLEGE OF EDUCATION, BANDIPORE (Id: C-45957)",0.67,NA,NA,NA,NA,0.83,2.56,NA
"SHEILA RAHEJA SCHOOL OF BUSINESS MANAGEMENT AND RESEARCH, MUMBAI SUBURBAN (Id: C-45204)",0.89,0.82,NA,0.33,NA,0.12,3,NA
Shekar College of Nursing (Id: C-40426),10,NA,NA,NA,NA,NA,NA,NA
"Shekhawati Ayurved College, Jhunjhunu (Id: C-26206)",0.92,0.61,1,1.06,NA,NA,NA,NA
"Shekhawati B.Ed. College, Sikar (Id: C-38656)",0.32,0.03,0.21,0.4,NA,NA,NA,NA
"Shekhawati College for Edu., Sikar (Id: C-39211)",1.05,1.11,0.5,1.15,1,0.6,NA,NA
"Shekhawati College of Commerce & Sci., Jhunjhunun (Id: C-38809)",0.05,0,0,0.03,0,0,NA,NA
"SHEKHAWATI COLLEGE OF PHARMACY, JHUNJHUNU (Id: C-47150)",0.08,0.18,0.33,0.05,NA,0,NA,NA
"Shekhawati Engineering College,Dundlod,Jhunjhunu (Id: C-25142)",0.08,0.09,0.1,0.08,NA,0.04,NA,NA
Shekhawati Insti. of Managment (Id: C-27835),0.05,NA,NA,NA,NA,NA,NA,NA
"Shekhawati Institute of Engineering & Technology,Sikar (Id: C-25190)",0,NA,NA,NA,NA,NA,NA,NA
Shekhawati Institute of Technology (Id: C-27837),0,NA,NA,NA,NA,NA,NA,NA
"Shekhawati KanyaMahavi., Jhunjhunun (Id: C-38463)",NA,NA,NA,NA,NA,NA,NA,NA
"Shekhawati Mahila Shikshak Prashikshan Mahavi., Sikar (Id: C-38871)",NA,NA,NA,NA,NA,NA,NA,NA
"Shekhawati PG College, Sikar (Id: C-38737)",0.07,0.17,0.11,0.09,NA,NA,NA,NA
"Shekhawati TT Inst., Sikar (Id: C-38874)",0.83,NA,NA,NA,NA,NA,NA,NA
"Shekh Shahid Mahila Degree College, Madanpur, Deoria (Id: C-14110)",NA,NA,NA,NA,NA,NA,NA,NA
"SHENBAGHA COLLEGE OF NURSING, CHENNAI (Id: C-45459)",NA,NA,NA,NA,NA,NA,NA,NA
Sher-e-Kashmir College of Education (Id: C-22949),1.1,0.2,NA,1.17,NA,NA,NA,NA
"SHERIL MARTH PARAMEDICAL INSTITUTION, THANJAVUR (Id: C-45759)",NA,NA,NA,NA,NA,NA,NA,NA
"Shershah College, Sasaram (Id: C-27138)",0.65,0.41,1.25,0.72,NA,0.32,NA,NA
"SHERWOOD COLLEGE OF ENGINEERING RESEARCH AND TECHNOLOGY, BARABANKI (Id: C-46709)",0.17,0.12,0,0.22,NA,0,NA,NA
"SHERWOOD COLLEGE OF PHARMACY, BARABANKI (Id: C-46710)",0.24,0.12,NA,0.42,NA,0.11,NA,NA
"Sheshadhripuram First Grade College, Yelahanka New Town, Bangalore-64 (Id: C-20601)",0.69,0.63,0.98,0.65,NA,0.62,0.59,0.16
"Sheshadripuram Arts, Science & Commerce College, Sheshadripuram , Bangalore-20 (Id: C-21043)",0.84,0.93,0.78,0.72,NA,NA,NA,NA
"Sheshadripuram Commerce College, No.65, 10th Cross, Magadi Mn Road, Bangalore -23 (Id: C-20645)",0.41,0.44,0,0.38,NA,NA,NA,NA
"Sheshadripuram Evening College,Sheshadripuram, Bangalore-20 (Id: C-20615)",0.38,0.47,0.23,NA,NA,0.47,0.3,NA
"Sheshadripuram Institute of Commerce & Mgmt., Sheshadripuram, No.40, Girls School Road, Bangalore -20. (Id: C-20937)",0.7,0.45,0.5,0.56,NA,0.33,NA,NA
"Sheshdripuram Academy of Busienss Study, No.18, Kommagatta Road, Kengeri New Town, Bangalore -60 (Id: C-21183)",0.69,0.45,0.33,0.7,NA,NA,NA,NA
"S H E S 'S J P SHIRAGAONKAR DEGREE COLLEGE, PARAMANANDAWADI (Id: C-10152)",0.79,0.63,1.33,0.82,NA,0.69,NA,NA
"Shetari Shikshan Prasarak Mandal, Balsur Sanchalit, Bhausaheb Birajdar Senior College, Balsur. (Id: C-34369)",0.64,NA,NA,NA,NA,NA,NA,NA
Sheth C. D. Barfiwala College of Commerce (Id: C-704),0.84,0.46,0.86,0.63,NA,NA,NA,NA
Sheth C. L. Commerce College (Id: C-5951),0.66,NA,NA,NA,NA,NA,NA,NA
Sheth C. N. GBTC B.Ed. (Basic) College (Id: C-5985),6.8,4,2,6,NA,NA,NA,NA
"Sheth D.M.Polytehnic in Horticulture, Vadodara (Id: C-7237)",0.29,0.67,1.25,0.17,NA,0,NA,NA
Sheth Dosabhai Lalchand Law College (Id: C-4103),0.44,0.19,0,0.34,NA,0.5,NA,NA
Sheth H.J. Law College (Id: C-7167),0.29,0.31,0,0.12,NA,0.38,NA,NA
SHETH I M PATEL COLLEGE OF EDUCATION (MED) (Id: C-6816),0.6,0,0.56,NA,NA,NA,NA,NA
"Sheth J. P. Ayurved College, Bhavnagar (Id: C-6445)",2.11,NA,NA,NA,NA,NA,NA,NA
Sheth L. H. Science College (Id: C-5915),0.94,0.5,1,0.75,NA,0,NA,NA
"Sheth M.C.College of Dairy Science, Anand (Id: C-7230)",0.3,0.54,0.31,0.24,NA,NA,NA,NA
"Sheth M.C.Polytehnic in Agriculture , Anand (Id: C-7236)",0.27,0.5,0.88,0.07,NA,NA,NA,NA
Sheth M. N. C. College of Education (Id: C-6017),1.62,1.25,0.82,2,2,NA,NA,NA
SHETH M N LAW COLLEGE PATAN (Id: C-6705),0.34,0.23,0,0.22,NA,0.1,NA,NA
SHETH M N SCIENCE COLLEGE PATAN (Id: C-6658),1.53,2.17,1.75,1.41,NA,NA,NA,NA
SHET H.P ARTS & T S M COMMERCE COLLEGE (Id: C-6668),0.59,0.66,0.45,0.45,NA,NA,NA,NA
Sheth P. T. Arts & Science College (Id: C-5852),0.96,1.18,0.95,0.7,2,0.6,4.14,NA
Sheth P.T. Mahila College of Arts & Home Science (Id: C-44167),NA,NA,NA,NA,NA,NA,NA,NA
Sheth R.D.Education Trust Sanchalit Arts & Commerce College (Id: C-4110),0.41,0.23,0.5,0.34,NA,NA,NA,NA
SHETH SHRI I M PATEL COLLEGE OF EDUCATION (Id: C-6633),0.78,0.75,1,0.27,NA,NA,NA,NA
Sheth S.V. Arts & Commerce College (Id: C-4119),0.58,0.41,0.67,0.52,0.5,0.55,NA,NA
Sheth T. C. Kapadia Arts & Commerce College (Id: C-5877),0.77,1.05,0.79,0.59,NA,0,0,NA
Sheth T J Education Societys Sheth Nanjibhai Khimjibhai Thakkar Thanawala College of Commerce and Sheth Jayantilal Tribhovandas Thanawala College of Arts and Science Near C K P Hall Kharkar Ali Thane 400 601 (Id: C-33653),1.23,1.61,2,1.79,0.5,NA,NA,NA
SHETH V S LAW COLLEGE UNJHA (Id: C-6904),0.7,0.9,0.25,0.29,NA,0.4,NA,NA
"Shetkari Shikshan Prasarak Mandal's Arts, Science & Commerce College, Dhanora (Id: C-34657)",0.24,0.18,0.33,0.27,NA,0.44,1,NA
"Shetkari Shikshan Prasarak Mandal's Babasaheb Paranjape College of Education, Ashti. (Id: C-34627)",0.59,0,1,0.7,NA,NA,NA,NA
"Shetkari Shikshan Prasarak Mandal's Bhagwan Arts, Science & Commerce College, Ashti. (Id: C-34276)",0.66,0.4,0.5,0.65,NA,0.64,NA,NA
"Shetkari Shikshan Prasarak Mandal's, College of Education, Ashti. (Id: C-34463)",0.5,NA,NA,NA,NA,NA,NA,NA
Shetkari Shikshan Prasarak Mandals Gurukrupa College of Education & Research Ramkrishna Nagar E wing Poornima Campas Murbad Road Dist. Thane (Id: C-34191),NA,NA,NA,NA,NA,NA,NA,NA
"SHETTY INSTITUTE OF TECHNOLOGY, GULBARGA (Id: C-45312)",0.24,0.19,1.25,0.17,0.33,0.12,NA,NA
"SHEVAROYS COLLEGE OF ARTS AND SCIENCE, YERCAUD (Id: C-47504)",1.38,NA,NA,NA,NA,NA,NA,NA
Shevaroys College of Hotel Managemnt & Catering Technology (Id: C-9484),NA,NA,NA,NA,NA,NA,NA,NA
S.H.GARDI ARTS & C.R.GARDI COMM.COLLEGE-DHROL (Id: C-999),1.03,1.09,0.5,0.65,0.18,0.61,NA,NA
"SHIA P.G. COLLEGE, SITAPUR ROAD (Id: C-12734)",0.56,0.13,0,0.45,NA,0.65,NA,NA
Shibpur Dinobundhoo Institution (College) (Id: C-11897),0.33,NA,NA,NA,NA,0.41,NA,NA
"Shikhar Teacher Training Inst. Bholyawas, Neemuch (Id: C-31751)",3.3,6,NA,2.31,NA,NA,NA,NA
"Shiksha Bharti B.Ed College, Kotla Khurd, Distt Una (Id: C-11260)",32.33,18,NA,NA,NA,NA,NA,NA
Shikshak Sanchalit ShikashanSansthas Arts and Commerce College At & Post Wada Dist Thane (Id: C-33636),0.77,NA,NA,NA,NA,NA,NA,NA
Shikshan Bharti College of Education (Id: C-717),5.03,4.33,3.67,10.5,NA,2,NA,NA
"Shikshan Maharshi Bapuji Salunkhe Mahavidyalaya, Pantacha Kot, Somwar Peth, KARAD (Id: C-11130)",0.96,1.21,NA,0.97,NA,NA,NA,NA
"Shikshan Maharshi Dnyandeo Mohekar Mahavidyalaya. Arts, Science & Commerce College, Kallam. (Id: C-34308)",0.38,0.51,0.29,0.34,NA,NA,NA,NA
"Shikshan Maharshi Dr. Bapuji Salunkhe College, MIRAJ (Id: C-11188)",0.47,0.35,NA,0.65,NA,1.4,NA,NA
"Shikshan Maharshi Dr.D.Y.Patil Shikshan Sansthas Dr. D.Y.Patil College of Computer & Business Studies, Sambhajinagar, Chinchwad, Pune 19 (Id: C-41658)",0.91,NA,NA,NA,NA,NA,NA,NA
Shikshan Mahavidyalaya (Id: C-17140),3.29,NA,3,3.14,NA,NA,NA,NA
"Shikshan Prasarak Mandalis Sir Parshurambhau College Arts, Science & Commerce Tilak Road Pune 30 (Id: C-41662)",0.87,0.78,0.7,0.92,0.5,0,NA,0
"Shikshan Prasarak Mandal's (Andoor) Jawahar Arts, Science & Commerce College, Andoor. (Id: C-34402)",0.58,NA,NA,NA,NA,NA,NA,NA
"Shikshan Prasarak Mandals Art & Commerce College, Talegaon Dhamdhere, Tal. Shirur, Dist. Pune (Id: C-41766)",1.15,0.6,2,1.6,NA,NA,NA,NA
Shikshan Prasarak Mandals N R Bhagat Jr & Sr College of Arts Science and Commerce Sector 4 Phase II Nerul Navi Mumbai 400 706 (Id: C-33747),0.41,NA,NA,NA,NA,NA,NA,NA
Shikshan Prasarak Mandals Shivaji College of Arts & Commerce at Salgaon Tal Kudal Dist Sindhudurg (Id: C-34107),0.5,NA,NA,NA,NA,NA,NA,NA
"Shikshan Prasarak Mandals Shri Padmamani Jain College of Arts & Commerce, Pabal, Tal. Shirur, Dist. Pune (Id: C-41327)",0.76,1.14,0.4,0.78,NA,0.43,NA,NA
"Shikshan Prasarak Mandal's, Smt. ratnaprabhadevi Mohite Patil College of Home Science for Women's (Id: C-44130)",NA,NA,NA,NA,NA,NA,NA,NA
"Shikshan Prasarak Sansthas College of Education B.Ed., Ghulewadi, Sangamner College Campus,Sangamner, Dist. Ahmednagar (Id: C-41437)",2.2,NA,NA,NA,NA,NA,NA,NA
"Shikshan Prasarak Sansthas Law College, Sangamner, Dist. Ahmednagar 422605 (Id: C-41528)",0.75,NA,NA,NA,NA,NA,NA,NA
"Shikshan Prasarak Sanstha's Sangamner Nagarpalika Arts & D.J.Malpani Commerce & B.N.Sarda Science College Sangamner, Dist.Ahmednagar 422605 (Id: C-41870)",0.67,NA,NA,NA,NA,NA,NA,NA
Shikshan Prasark Mandals Kirbet College of Arts & Commerce Sakharpa Taluka Sangmeshwar Dist Ratnagiri (Id: C-33912),0.81,NA,NA,NA,NA,NA,NA,NA
Shikshan Prasark Mandals Ramnarain Ruia College Matunga Mumbai 400 019 (Id: C-33742),1.91,1.51,1.71,2.18,NA,NA,NA,NA
"Shikshanshastra Mahavidyalaya,KAGAL (Id: C-11019)",3.38,4.64,0,2.61,NA,NA,NA,NA
"Shikshanshastra Mahavidyalaya, VITA (Id: C-10992)",1.5,0.44,NA,1.25,NA,NA,NA,NA
Shikshan Vikas Mandals S H Kelkar College of Arts Science and Commerce Devgad Dist Sindhudurg 416 613 (Id: C-34108),0.91,0.68,1.11,0.89,NA,1.67,NA,NA
Shikshan Vikas Mandals Shri Shantaram Krishnaji College of Education Deogad Dist Sindhudurg (Id: C-33869),1.21,1,0.33,0.8,NA,NA,NA,NA
Shiksha Snatak College Mandher (Id: C-21716),0.67,0.62,0.38,0.71,NA,0.5,NA,NA
"Shiladevi Arts Commerce and Science College, Wadi (Id: C-18515)",1.48,NA,NA,NA,NA,NA,NA,NA
"Shiladevi College of Education Society, Wadi (Id: C-18776)",3.73,NA,NA,NA,NA,NA,NA,NA
Shillong College (Id: C-16364),0.5,NA,0.47,NA,NA,NA,NA,2.33
"Shimla Nursing College Anadale, Shimla (Id: C-11489)",NA,NA,NA,NA,NA,NA,NA,NA
"Shimoga Institute of Medical Sciences, (Id: C-40333)",0.9,0.82,0.45,0.7,NA,0,NA,NA
Shimurali Sachinandan College of Education (Id: C-7084),1.08,0.93,1.5,1,0.5,0.5,NA,NA
"Shinde B.Ed. College, Anjani Bu. Mehakar (Id: C-43104)",NA,NA,NA,NA,NA,NA,NA,NA
"Shinde Women's Teachers College, Katol (Id: C-18883)",NA,NA,NA,NA,NA,NA,NA,NA
Shiposhi Shikshan Prasarak Mandals Late Bapuji Hariji Baing College of BMS At/Post Shiposhi Tal-Lanja Dist Ratnagiri-415 802 (Id: C-34085),0.65,0.67,NA,0.74,NA,NA,NA,NA
Shirakole Mahavidyalaya (Id: C-11954),1.45,1.32,NA,0.48,NA,2.12,NA,NA
Shirdee College of Education (Id: C-22877),0.96,1,1.5,0.2,NA,NA,NA,NA
"Shirdhi Sai Baba Ayurved College & Hospital, Kishangargh Renwal (Id: C-26213)",0.97,1.21,1,0.78,NA,NA,NA,NA
"Shirdi Sai Engineering College, BANGALORE (Id: C-1391)",0.38,0.44,0.5,0.23,NA,NA,NA,NA
SHIRIDI SAI DEGREE COLLEGE (Id: C-24872),0.82,0.92,0.75,0.78,NA,NA,NA,NA
Shiri Kumaran College of Arts and Science (Id: C-41121),1.33,0.29,NA,NA,NA,NA,NA,NA
"Shir Jankiraman College, Jabalpur (Id: C-33425)",0.39,0.44,0.1,0.59,NA,NA,NA,NA
SHIR K.K.DHARAIYA B.P.ED.COLLEGE-RAJKOT (Id: C-962),0.52,0.5,NA,0.4,NA,NA,NA,NA
"Shirodkar Hospital Trust s Institute of Nursing Education & Paramedical Sciences (P.B.B.Sc.), Dombivli (E), Dist. Thane (Id: C-13868)",10.67,NA,NA,NA,NA,NA,NA,NA
"Shirur Shikshan Prasarak Mandal's Shri Chandmal Tarachand Bora Arts, Science & Commerce College Shirur (Id: C-41263)",0.62,0.72,0.4,0.75,0,0.9,NA,NA
"Shirur S..M.s Manikchand Dariwal Institute of Rural Management and Technology, Shirur Ghodnadi, Dist. Pune 412210 (Id: C-42189)",0.51,1,0,0.19,NA,NA,NA,NA
"Shishu Sanskrit Vidyalaya, Veersinghpur Saraiya, Saya (Id: C-20348)",1.39,1.22,NA,1.48,NA,NA,NA,NA
SHITALA EDUCATION COLLEGE DABRA (Id: C-34709),1.06,0.6,0,1.16,1.36,NA,NA,NA
"Shiva Bharathi Trusts International Institute for Advanced Studies (IIAS) University Road, Railway Station Opp:5th Cross, Kalyanagar, Dharwad-07 (Id: C-35494)",NA,NA,NA,NA,NA,NA,NA,NA
Shiva College Maitry Vihar Radhika Nagar Supela (Id: C-21641),1.41,1.33,0,0.93,NA,NA,NA,NA
Shiva College of Education (Id: C-14975),4.56,2.14,NA,6.09,NA,NA,NA,NA
"Shiva College of Education, Abdhan (Panol), Distt Bilaspur (Id: C-11486)",11.5,5.75,NA,11,NA,1,NA,NA
"Shiva College of Education, Dirba, Sangrur (Id: C-22080)",2.23,0.8,NA,1,NA,0,2.11,NA
"SHIV ADARSH MAHAVIDYALAYA PENDHAT, FIROZABAD (Id: C-15580)",0.39,0.31,0,0.5,NA,NA,NA,NA
"Shiva Institute of Engineering & Technology, Chandpur, Distt Bilaspur, (Id: C-11497)",0.21,0.2,0.37,0.21,NA,1,NA,NA
"SHIVAI PRABHODHINI SANSTHA AMDAR DOULAT DARODA SCIENCE MAHAVIDLAYA, THANE (Id: C-45245)",0.29,NA,NA,NA,NA,NA,NA,NA
Shivaji College (Id: C-6366),0.55,0.2,0.14,0.15,0.11,0.34,1.23,0
"Shivaji College, Hingoli (Id: C-7551)",0.38,0.32,0.53,0.2,NA,0.78,NA,NA
"Shivaji College of Arts, Comm. & Science, Kandhar (Id: C-7291)",0.42,0.4,0.78,0.5,NA,0.43,0.72,NA
"Shivaji College of Arts, Science & Commerce (Id: C-34385)",0.41,0.48,0.3,0.32,NA,NA,NA,NA
Shivaji Institute of Education and Research Phondaghat Tal Kankavali Dist Sindhudurg 416 601 (Id: C-33831),0.36,NA,NA,NA,NA,NA,NA,NA
"Shivaji Institute of Engineering & Management, Parbhani (Id: C-7470)",0.49,0.26,0,0.5,0,0.43,NA,NA
"Shivaji Mahavidyalaya, Renapur (Id: C-7286)",0.8,0.85,NA,0.91,NA,NA,NA,NA
"Shivaji Mahavidyalaya, Udgir (Id: C-7605)",0.96,0.78,0.8,1.1,NA,NA,NA,NA
"Shivajirao Deshmukh Shikshanshastra Mahavidyalaya, SHIRALA (Id: C-11229)",2,1.3,NA,3,NA,NA,NA,NA
"Shivajirao Moghe Vidhyan Mahavidyalaya, Arni. (Id: C-43110)",1.28,NA,NA,NA,NA,NA,NA,NA
Shivajirao S Jondhale College of Engineering Vishnu Nagar Dombivli (West) Dist Thane (Id: C-34225),0.31,0.48,0.16,0.31,NA,NA,NA,NA
"Shivaji Shikshan Mandal Ajit Pawar Arts, Commerce & Science College, Ram Nagar. (Id: C-34388)",0.43,NA,NA,NA,NA,NA,NA,NA
Shivaji Shikshan Prasarak Mandal's Women's College of Education (Id: C-44292),NA,NA,NA,NA,NA,NA,NA,NA
"SHIVAJI VIDYAPEETH MAHAVIDYALAYA, LAHARPUR, (Id: C-12441)",0.41,NA,NA,NA,0.35,NA,NA,0.11
Shivalik College of Education (Id: C-22901),1.58,1,1,0.79,NA,1,NA,NA
Shivalik College of Education (Id: C-10619),1.76,1.74,NA,3.08,NA,0.77,2.07,NA
Shivalik College of Engg. (Id: C-21299),0.13,0.09,0.18,0.1,NA,NA,NA,NA
Shivalik College of Engg. & Technology (Id: C-10586),0.23,NA,NA,NA,NA,NA,NA,NA
"Shivalik College of Pharmacy, Nangal (Id: C-10399)",1.98,3,NA,2.33,NA,NA,2.22,NA
"Shivalik Hills College of Education, Patti, P.O. Manakpur, Anandpur Sahib (Id: C-22255)",10.76,5.5,NA,17,NA,NA,NA,NA
"Shivalik Institutes of Nursing, Chibber Complex, Kamlanagar, Snajauli, Distt. Shimla (Id: C-11543)",NA,NA,NA,NA,NA,NA,NA,NA
"SHIVAM COLLEGE, KATANGI (Id: C-47352)",1.4,NA,NA,0.86,NA,NA,NA,NA
SHIVAM COLLEGE PORSA (Id: C-34751),0.36,0.29,NA,0.2,NA,NA,NA,NA
"Shivam Institute of Management, Commerce & Computer Technology, Valasan (Id: C-1217)",0.13,NA,NA,NA,NA,NA,NA,NA
"Shivam Mahila Shikshan Prasarak Mandal Parbhani College of Management Science,Kacheri. (Id: C-34338)",0,NA,NA,NA,NA,NA,NA,NA
"SHIVANANDA ARTS & COMMERCE COLLEGE, KAGAWAD (Id: C-9963)",0.86,0.44,0.43,NA,NA,NA,NA,NA
"Shivanand Mahavidyalaya ,Indara, Mau (Id: C-16127)",1.38,1.48,1.29,1.36,NA,NA,NA,NA
"Shivang College of Physiothereaphy, Ratlam (Id: C-32607)",1.4,NA,NA,NA,NA,NA,NA,NA
"Shivangi Mahila Mahavidyalaya, Panchahatiya Jaunpur (Id: C-16087)",NA,NA,NA,NA,NA,NA,NA,NA
"Shivani Arts & Science Degree College for Women, Maruthi Nagar, Mandamarri (Id: C-27238)",NA,NA,NA,NA,NA,NA,NA,NA
SHIVANI ATRS WOMEN COLLEGE NIFADRA (Id: C-46496),NA,NA,NA,NA,NA,NA,NA,NA
Shivani Degree College (Id: C-36921),0.76,0.77,0,0.79,NA,NA,NA,NA
Shivani Engineering College (Id: C-25030),0.34,0.38,0,0.33,NA,NA,NA,NA
Shivani Institute of Technology (Id: C-25025),0.17,0.18,0,0.15,NA,0.1,0.22,NA
"SHIVANI PARAMADICAL INSTITUTE,SHAHDOL (Id: C-31889)",0.39,0.14,0.82,0.27,NA,1,NA,NA
Shivani School of Business Management (Id: C-29110),0.62,0.5,NA,0.62,NA,NA,NA,NA
Shivani Womens Degree College (Id: C-25736),NA,NA,NA,NA,NA,NA,NA,NA
"Shivaraj College of Arts and Commerce & D.S. Kadam Science College, GADHINGLA (Id: C-11051)",0.77,0.67,NA,0.87,NA,0.33,0,NA
"Shiva Trust Aurangabad s Aurangabad Training college of B.Sc. Nursing, Shivaji Nagar, Aurangabad (Id: C-13999)",0.64,NA,NA,NA,NA,NA,NA,NA
Shiva Trust Aurangabads Aurangabad Training college of P.B.B.Sc. Nursing Shivaji Nagar Aurangabad (Id: C-13842),0.48,NA,NA,NA,NA,NA,NA,NA
"Shivayogishwara Lalitakala Mahavidyalaya, Bailhongal (Id: C-26663)",0.08,NA,NA,0.2,0,NA,NA,NA
Shiv Chhatrapati College Arts (Id: C-34481),0.46,NA,NA,NA,NA,NA,NA,NA
SHIV COLLGE OF EDUCATION (Id: C-28459),6.42,1.25,NA,7,NA,NA,NA,NA
Shivdarshan Mahavidyalaya (Id: C-22561),0.92,0.99,NA,0.88,NA,1.11,NA,NA
"Shiv Deni Ram Ayodhya Prasad College, Barachakia (Id: C-19024)",0.37,0.35,NA,0.39,NA,NA,NA,NA
"Shiveshar Chandravansi Degree College,Majhiaon (Id: C-42751)",0.57,0.34,0.6,0.61,NA,0.67,NA,NA
Shivgram Education Societys Shri Kamaxidevi Homoeopathic Medical College & Hospital Shiroda (Id: C-30856),6.8,NA,NA,NA,NA,NA,NA,NA
"Shiv Harsh Kisan P.G. College, Basti (Id: C-14327)",0.87,0.6,NA,0.54,NA,1.11,NA,NA
Shiv Jagruti Senior College Nalegaon (Id: C-7296),1.11,NA,NA,NA,NA,NA,NA,NA
SHIV KARAN COLLEGE OF EDUCATION (Id: C-28217),5.67,NA,NA,NA,NA,NA,NA,NA
