Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
"Indian Institute of Science Education & Research (IISER), Kolkata, (Id: U-0572)",0.35,0.25,0.33,0.16,NA,NA,NA,NA
"Indian Institute of Science Education & Research (IISER), Mohali (Id: U-0377)",0.52,0.52,1.33,0.32,0,NA,NA,NA
"Indian Institute of Science Education & Research (IISER), Pune, (Id: U-0305)",0.47,0.51,0.19,0.35,1,NA,NA,NA
"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram (Id: U-0254)",0.75,0.61,0.57,0.85,NA,1,0.78,NA
"Indian Institute of Space Science and Technology, Thiruvananthapuram (Id: U-0255)",0.17,0.11,0.1,0.17,NA,NA,NA,NA
"INDIAN INSTITUTE OF TEACHER EDUCATION, GANDHINAGAR (Id: U-0664)",1.27,1,NA,1,NA,0,NA,NA
"INDIAN INSTITUTE OF TECHNOLOGY (BANARAS HINDU UNIVERSITY), VARANASI (Id: U-0701)",0.13,0.15,0.13,0.11,0.15,NA,NA,NA
"Indian Institute of Technology, Bhubaneshwar (Id: U-0355)",0.12,0.11,0.09,0.11,0.25,0.33,0.05,NA
"Indian Institute of Technology, Chennai (Id: U-0456)",0.21,0.22,0.18,0.21,NA,NA,NA,0
"Indian Institute of Technology, Delhi (Id: U-0100)",0.22,0.17,0.21,0.15,0.16,NA,NA,0.1
"Indian Institute of Technology, Gandhinagar (Id: U-0139)",0.14,0.07,0.06,0.08,0,NA,NA,NA
"Indian Institute of Technology, Guwahati (Id: U-0053)",0.15,0.12,0.18,0.1,0.11,NA,NA,0.6
"Indian Institute of Technology, Hyderabad (Id: U-0013)",0.18,0.28,0.25,0.13,1,NA,NA,NA
"Indian Institute of Technology, Indore (Id: U-0273)",0.18,0.18,0.07,0.12,0,NA,NA,NA
"Indian Institute of Technology, Jodhpur (Id: U-0395)",0.11,0.08,0.05,0.09,0,0.08,0,NA
"Indian Institute of Technology, Kaharagpur (Id: U-0573)",0.18,0.17,0.14,0.12,0.2,NA,NA,NA
"Indian Institute of Technology, Kanpur (Id: U-0517)",0.13,0.14,0.12,0.09,0.02,NA,NA,NA
"Indian Institute of Technology, Mandi (Id: U-0184)",0.1,0.08,0.21,0.07,0.5,NA,NA,NA
"Indian Institute of Technology, Mumbai (Id: U-0306)",0.19,0.11,0.22,0.13,NA,NA,NA,NA
"Indian Institute of Technology, Patna (Id: U-0064)",0.11,0.11,0.12,0.09,0,NA,NA,NA
"Indian Institute of Technology, Roorkee (Id: U-0560)",0.18,0.21,0.14,0.12,NA,NA,NA,0.03
"Indian Institute of Technology, Ropar (Id: U-0378)",0.11,0.14,0.06,0.08,0,NA,NA,NA
"Indian Law Institute, Bhagwandas Road, New Delhi (Id: U-0103)",0.56,0.44,0.8,0.48,NA,NA,NA,NA
Indian Maritime University (Id: U-0457),0,0,0,NA,NA,NA,NA,NA
"Indian School of Mines, Dhanbad (Id: U-0205)",0.07,0.02,0.04,0.01,NA,NA,NA,NA
"Indian Statistical Institute, Kolkata (Id: U-0574)",0.27,0.38,NA,0.04,NA,0,NA,NA
"Indian Veterinary Research Institute, Izatnagar (Id: U-0518)",0.29,0.41,0.23,0.25,0.25,NA,NA,NA
"Indira Gandhi Institute of Development Research, Mumbai (Id: U-0307)",1.37,0.43,0.33,NA,NA,NA,NA,NA
"Indira Gandhi Institute of Medical Sciences, Patna (Id: U-0065)",1.2,0.96,0.4,2.02,NA,NA,NA,NA
"Indira Gandhi Krishi Vishwavidyalaya, Raipur (Id: U-0087)",NA,NA,NA,NA,NA,NA,NA,NA
Indira Gandhi National Open University (Id: U-0104),0.82,0.7,0.98,0.68,0,0,0,NA
"Indira Gandhi National Tribal University, Amarkantak (Id: U-0290)",0.67,0.53,0.69,0.57,NA,0,NA,NA
"Indira Kala Sangit Vishwavidyalaya, Khairagarh (Id: U-0088)",0.74,0.51,0.53,0.5,0,NA,NA,1.75
"Indraprastha Institute of Information Technology, Delhi (Id: U-0105)",0.57,0.65,0,0.59,NA,NA,NA,NA
